funding_timestamp,funding_rate,event_time
1612713600000,0.00132934,2021-02-07 16:00:00+00:00
1612742400000,0.00104332,2021-02-08 00:00:00+00:00
1612771200000,0.0001,2021-02-08 08:00:00+00:00
1612800000000,0.00019266,2021-02-08 16:00:00+00:00
1612828800000,0.00229402,2021-02-09 00:00:00+00:00
1612857600000,0.0033594,2021-02-09 08:00:00+00:00
1612886400000,0.00351752,2021-02-09 16:00:00+00:00
1612915200000,0.00307945,2021-02-10 00:00:00+00:00
1612944000000,0.00251418,2021-02-10 08:00:00+00:00
1612972800000,0.00262915,2021-02-10 16:00:00+00:00
1613001600000,0.0021255,2021-02-11 00:00:00+00:00
1613030400000,0.00115044,2021-02-11 08:00:00+00:00
1613059200000,0.00078662,2021-02-11 16:00:00+00:00
1613088000000,0.00148732,2021-02-12 00:00:00+00:00
1613116800000,0.00139845,2021-02-12 08:00:00+00:00
1613145600000,0.00108069,2021-02-12 16:00:00+00:00
1613174400000,0.00163387,2021-02-13 00:00:00+00:00
1613203200000,0.00268403,2021-02-13 08:00:00+00:00
1613232000000,0.00276189,2021-02-13 16:00:00+00:00
1613260800000,0.00168413,2021-02-14 00:00:00+00:00
1613289600000,0.00141904,2021-02-14 08:00:00+00:00
1613318400000,0.00181665,2021-02-14 16:00:00+00:00
1613347200000,0.0019204,2021-02-15 00:00:00+00:00
1613376000000,0.00159925,2021-02-15 08:00:00+00:00
1613404800000,0.00117331,2021-02-15 16:00:00+00:00
1613433600000,0.00095774,2021-02-16 00:00:00+00:00
1613462400000,0.00117218,2021-02-16 08:00:00+00:00
1613491200000,0.00146367,2021-02-16 16:00:00+00:00
1613520000000,0.00186263,2021-02-17 00:00:00+00:00
1613548800000,0.00180654,2021-02-17 08:00:00+00:00
1613577600000,0.00194229,2021-02-17 16:00:00+00:00
1613606400000,0.0028328,2021-02-18 00:00:00+00:00
1613635200000,0.00283802,2021-02-18 08:00:00+00:00
1613664000000,0.00287299,2021-02-18 16:00:00+00:00
1613692800000,0.00242141,2021-02-19 00:00:00+00:00
1613721600000,0.00152027,2021-02-19 08:00:00+00:00
1613750400000,0.00144098,2021-02-19 16:00:00+00:00
1613779200000,0.00193253,2021-02-20 00:00:00+00:00
1613808000000,0.00254403,2021-02-20 08:00:00+00:00
1613836800000,0.00218499,2021-02-20 16:00:00+00:00
1613865600000,0.00218604,2021-02-21 00:00:00+00:00
1613894400000,0.00174305,2021-02-21 08:00:00+00:00
1613923200000,0.00122471,2021-02-21 16:00:00+00:00
1613952000000,0.0014577,2021-02-22 00:00:00+00:00
1613980800000,0.00118186,2021-02-22 08:00:00+00:00
1614009600000,0.00076097,2021-02-22 16:00:00+00:00
1614038400000,0.00087057,2021-02-23 00:00:00+00:00
1614067200000,0.00023661,2021-02-23 08:00:00+00:00
1614096000000,0.00021526,2021-02-23 16:00:00+00:00
1614124800000,0.0001,2021-02-24 00:00:00+00:00
1614153600000,0.0001,2021-02-24 08:00:00+00:00
1614182400000,0.00014754,2021-02-24 16:00:00+00:00
1614211200000,0.0001,2021-02-25 00:00:00+00:00
1614240000000,0.00022884,2021-02-25 08:00:00+00:00
1614268800000,0.00011826,2021-02-25 16:00:00+00:00
1614297600000,0.0001,2021-02-26 00:00:00+00:00
1614326400000,0.0001,2021-02-26 08:00:00+00:00
1614355200000,0.0001,2021-02-26 16:00:00+00:00
1614384000000,0.00013779,2021-02-27 00:00:00+00:00
1614412800000,0.0001,2021-02-27 08:00:00+00:00
1614441600000,0.00035622,2021-02-27 16:00:00+00:00
1614470400000,0.0001,2021-02-28 00:00:00+00:00
1614499200000,0.0001,2021-02-28 08:00:00+00:00
1614528000000,0.0001,2021-02-28 16:00:00+00:00
1614556800000,0.0001,2021-03-01 00:00:00+00:00
1614585600000,0.0001,2021-03-01 08:00:00+00:00
1614614400000,0.0001,2021-03-01 16:00:00+00:00
1614643200000,0.00016216,2021-03-02 00:00:00+00:00
1614672000000,0.00019702,2021-03-02 08:00:00+00:00
1614700800000,0.00014661,2021-03-02 16:00:00+00:00
1614729600000,0.00010483,2021-03-03 00:00:00+00:00
1614758400000,0.0001,2021-03-03 08:00:00+00:00
1614787200000,0.0001,2021-03-03 16:00:00+00:00
1614816000000,0.00039016,2021-03-04 00:00:00+00:00
1614844800000,0.0003776,2021-03-04 08:00:00+00:00
1614873600000,0.00012299,2021-03-04 16:00:00+00:00
1614902400000,0.00014608,2021-03-05 00:00:00+00:00
1614931200000,0.00011223,2021-03-05 08:00:00+00:00
1614960000000,0.0001,2021-03-05 16:00:00+00:00
1614988800000,0.0001,2021-03-06 00:00:00+00:00
1615017600000,0.00013218,2021-03-06 08:00:00+00:00
1615046400000,0.00026436,2021-03-06 16:00:00+00:00
1615075200000,0.00030576,2021-03-07 00:00:00+00:00
1615104000000,0.00034766,2021-03-07 08:00:00+00:00
1615132800000,0.0001,2021-03-07 16:00:00+00:00
1615161600000,0.00020408,2021-03-08 00:00:00+00:00
1615190400000,0.0001,2021-03-08 08:00:00+00:00
1615219200000,0.00012102,2021-03-08 16:00:00+00:00
1615248000000,0.00023844,2021-03-09 00:00:00+00:00
1615276800000,0.0001,2021-03-09 08:00:00+00:00
1615305600000,0.00043032,2021-03-09 16:00:00+00:00
1615334400000,0.00079783,2021-03-10 00:00:00+00:00
1615363200000,0.00055582,2021-03-10 08:00:00+00:00
1615392000000,0.00051175,2021-03-10 16:00:00+00:00
1615420800000,0.00074809,2021-03-11 00:00:00+00:00
1615449600000,0.00079085,2021-03-11 08:00:00+00:00
1615478400000,0.00056905,2021-03-11 16:00:00+00:00
1615507200000,0.00069625,2021-03-12 00:00:00+00:00
1615536000000,0.00105737,2021-03-12 08:00:00+00:00
1615564800000,0.00076273,2021-03-12 16:00:00+00:00
1615593600000,0.00046915,2021-03-13 00:00:00+00:00
1615622400000,0.00045214,2021-03-13 08:00:00+00:00
1615651200000,0.00044088,2021-03-13 16:00:00+00:00
1615680000000,0.00111019,2021-03-14 00:00:00+00:00
1615708800000,0.00162517,2021-03-14 08:00:00+00:00
1615737600000,0.00143589,2021-03-14 16:00:00+00:00
1615766400000,0.00123821,2021-03-15 00:00:00+00:00
1615795200000,0.00114954,2021-03-15 08:00:00+00:00
1615824000000,0.00110178,2021-03-15 16:00:00+00:00
1615852800000,0.00073982,2021-03-16 00:00:00+00:00
1615881600000,0.00023945,2021-03-16 08:00:00+00:00
1615910400000,0.00026705,2021-03-16 16:00:00+00:00
1615939200000,0.00020607,2021-03-17 00:00:00+00:00
1615968000000,0.00034907,2021-03-17 08:00:00+00:00
1615996800000,0.00024498,2021-03-17 16:00:00+00:00
1616025600000,0.00013785,2021-03-18 00:00:00+00:00
1616054400000,0.00060852,2021-03-18 08:00:00+00:00
1616083200000,0.00060846,2021-03-18 16:00:00+00:00
1616112000000,0.00050897,2021-03-19 00:00:00+00:00
1616140800000,0.00020127,2021-03-19 08:00:00+00:00
1616169600000,0.0001,2021-03-19 16:00:00+00:00
1616198400000,0.00015265,2021-03-20 00:00:00+00:00
1616227200000,0.0003814,2021-03-20 08:00:00+00:00
1616256000000,0.00042549,2021-03-20 16:00:00+00:00
1616284800000,0.00071525,2021-03-21 00:00:00+00:00
1616313600000,0.00066516,2021-03-21 08:00:00+00:00
1616342400000,0.00031201,2021-03-21 16:00:00+00:00
1616371200000,0.00033585,2021-03-22 00:00:00+00:00
1616400000000,0.00053296,2021-03-22 08:00:00+00:00
1616428800000,0.00028301,2021-03-22 16:00:00+00:00
1616457600000,0.00031794,2021-03-23 00:00:00+00:00
1616486400000,0.0001,2021-03-23 08:00:00+00:00
1616515200000,0.0001,2021-03-23 16:00:00+00:00
1616544000000,0.00015945,2021-03-24 00:00:00+00:00
1616572800000,0.00027587,2021-03-24 08:00:00+00:00
1616601600000,0.00013902,2021-03-24 16:00:00+00:00
1616630400000,0.00016195,2021-03-25 00:00:00+00:00
1616659200000,0.00015728,2021-03-25 08:00:00+00:00
1616688000000,0.0001,2021-03-25 16:00:00+00:00
1616716800000,0.00012568,2021-03-26 00:00:00+00:00
1616745600000,0.000508,2021-03-26 08:00:00+00:00
1616774400000,0.00034709,2021-03-26 16:00:00+00:00
1616803200000,0.00011329,2021-03-27 00:00:00+00:00
1616832000000,0.0001,2021-03-27 08:00:00+00:00
1616860800000,0.0001,2021-03-27 16:00:00+00:00
1616889600000,0.0001466,2021-03-28 00:00:00+00:00
1616918400000,0.00010207,2021-03-28 08:00:00+00:00
1616947200000,0.00014327,2021-03-28 16:00:00+00:00
1616976000000,0.00021016,2021-03-29 00:00:00+00:00
1617004800000,0.0001,2021-03-29 08:00:00+00:00
1617033600000,0.00017914,2021-03-29 16:00:00+00:00
1617062400000,0.00061262,2021-03-30 00:00:00+00:00
1617091200000,0.00061159,2021-03-30 08:00:00+00:00
1617120000000,0.00057326,2021-03-30 16:00:00+00:00
1617148800000,0.00047448,2021-03-31 00:00:00+00:00
1617177600000,0.00052207,2021-03-31 08:00:00+00:00
